ASN,Org,IPs,Providers,Names
212238,CDNEXT,"4,598",22,"Astrill, CactusVPN, CyberGhost, ExpressVPN, Hide.me, Hotspotshield, IPVanish, IVPN, Ivacy, Mullvad, NordVPN, Ovpn, Private Internet Access, ProtonVPN, Purevpn, Smartdnsproxy, StrongVPN, Surfshark, VPNSecure, WLVPN, Windscribe, Zoogvpn"
9009,M247,"3,977",50,"AirVPN, Anonine, BoxPN, Bulletvpn, CactusVPN, Cryptostorm, CyberGhost, EasyHideIP, ExpressVPN, FastestVPN, FlowVPN, Froot, Getflix, GhostPath, Goosevpn, Hide.me, Hotspotshield, IPVanish, IVPN, Ivacy, KeepSolid VPN Unlimited, KevinVPN, Le VPN, Mullvad, NordVPN, Ovpn, PhantomPeer, Privado, Private Internet Access, PrivateVPN, ProtonVPN, Purevpn, Safervpn, Slickvpn, Slickvpncore, Smartdnsproxy, StrongVPN, Surfshark, Tor, TorGuard, Trust.Zone, TunnelBear, VPN.ac, VPNUK, Vpnarea, Vpntunnel, WLVPN, Windscribe, Zoogvpn, uVPN"
62651,NETPROTECT-62651,"3,051",3,"IPVanish, StrongVPN, WLVPN"
62240,CLOUVIDER Clouvider - Global ASN,"2,311",13,"Astrill, ExpressVPN, FireHOL, GhostPath, Hide.me, IPVanish, KevinVPN, NordVPN, Private Internet Access, StrongVPN, Surfshark, WLVPN, Windscribe"
60068,CDN77 _,"1,124",18,"AzireVPN, CyberGhost, ExpressVPN, Getflix, Hide.me, IVPN, Mullvad, NetShade, NordVPN, Private Internet Access, PrivateVPN, ProtonVPN, Purevpn, Riseup VPN, Smartdnsproxy, Surfshark, Trust.Zone, Windscribe"
137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,830,11,"Bulletvpn, CyberGhost, ExpressVPN, IPVanish, Ivacy, NordVPN, Private Internet Access, ProtonVPN, Purevpn, WLVPN, Windscribe"
25369,BANDWIDTH-AS,665,9,"FlowVPN, IPVanish, Ivacy, NordVPN, PrivateVPN, ProtonVPN, Purevpn, Surfshark, WLVPN"
49453,GLOBALLAYER,623,2,"AirVPN, NordVPN"
11878,TZULO,589,6,"AirVPN, AzireVPN, CCrypto VPN, IVPN, Mullvad, Windscribe"
140952,"STL-AS-AP Strong Technology, LLC",562,3,"IPVanish, StrongVPN, WLVPN"
22781,STRTEC,408,3,"IPVanish, StrongVPN, WLVPN"
174,COGENT-174,346,10,"Astrill, Bulletvpn, CyberGhost, GhostPath, IPVanish, KeepSolid VPN Unlimited, Private Internet Access, Slickvpn, StrongVPN, WLVPN"
21859,ZEN-ECN,301,11,"ExpressVPN, Hide.me, Hotspotshield, IPVanish, Mullvad, Private Internet Access, PrivateVPN, Tor, TunnelBear, WLVPN, Windscribe"
39287,ABSTRACT,244,2,"Njalla, Tor"
32489,AMANAHA-NEW,233,14,"AirVPN, Anonvpn, BTGuard, Getflix, IVPN, KeepSolid VPN Unlimited, Ovpn, ProtonVPN, Proxpn, Smartdnsproxy, Tor, TorGuard, Trust.Zone, VPN.ac"
396356,LATITUDE-SH,211,15,"CactusVPN, ExpressVPN, Hotspotshield, IPVanish, Ivacy, NordVPN, Private Internet Access, ProtonVPN, Purevpn, StrongVPN, Surfshark, TunnelBear, WLVPN, Windscribe, Zoogvpn"
203020,HOSTROYALE,189,14,"Cryptostorm, IPVanish, IVPN, Ivacy, Mullvad, NordVPN, Privado, ProtonVPN, Purevpn, StrongVPN, Surfshark, SwitchVPN, TorGuard, WLVPN"
136258,"ONEPROVIDER-AS BrainStorm Network, Inc",181,13,"AnonymousVPN, Bulletvpn, CactusVPN, FastestVPN, FlowVPN, KeepSolid VPN Unlimited, OysterVPN, Safervpn, TunnelBear, VPNSecure, VPNUK, Vpnarea, Zoogvpn"
36352,AS-COLOCROSSING,174,17,"Astrill, FireHOL, GhostPath, IPVanish, IVPN, Ivacy, PrivateVPN, Purevpn, Slickvpn, Slickvpncore, SwitchVPN, Tor, TorGuard, TunnelBear, VPN.ac, WLVPN, Windscribe"
136557,HOST-AS-AP Host Universal Pty Ltd,171,13,"Anonine, AzireVPN, BoxPN, EasyHideIP, FlowVPN, Ivacy, Mullvad, NordVPN, PrivateVPN, ProtonVPN, Surfshark, Vpnarea, Vpntunnel"
46844,SHARKTECH,170,4,"Astrill, IPVanish, StrongVPN, WLVPN"
14061,DIGITALOCEAN-ASN,157,19,"FireHOL, Getflix, GhostPath, Goosevpn, KeepSolid VPN Unlimited, OysterVPN, PhantomPeer, PrivateVPN, Ra4w, Safervpn, Slickvpn, Smartdnsproxy, Surfshark, Tor, TorGuard, Trust.Zone, TunnelBear, Vpnarea, uVPN"
16276,OVH,148,26,"Anonine, BoxPN, Bulletvpn, CCrypto VPN, CactusVPN, EasyHideIP, FlowVPN, Freevpn, Froot, GhostPath, HideIPVPN, KeepSolid VPN Unlimited, NetShade, Ra4w, Slickvpn, SwitchVPN, Tor, VPN.ac, VPNSecure, Vpnbook, Vpnfacile, Vpntunnel, WorkingVPN, WorldVPN, Zoogvpn, uVPN"
20473,AS-VULTR,138,18,"BTGuard, FireHOL, FlowVPN, Getflix, IVPN, KeepSolid VPN Unlimited, Proxpn, Ra4w, Safervpn, Slickvpn, Smartdnsproxy, SwitchVPN, Tor, TorGuard, TunnelBear, VPNUK, Vpnarea, Zoogvpn"
42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",138,18,"Anonine, Anonvpn, BoxPN, EasyHideIP, ExpressVPN, FlowVPN, GhostPath, IPVanish, KeepSolid VPN Unlimited, Le VPN, NordVPN, Proxpn, Slickvpn, StrongVPN, VPN.ac, VPNUK, Vpntunnel, WLVPN"
